Company Name,Industry,Revenue (USD),Employees,City,State,Founded Year
Fusion Labs 1,Telecommunications,4412036869.17,31818,Chicago,TX,1999
GoldLeaf Financial 2,Logistics,5654898299.84,24981,Mumbai,AU,1974
Harmony Health 3,Telecommunications,34639931.98,53618,New York,NY,1962
Streamline Logistics 4,Healthcare,3158111892.65,48705,Atlanta,TX,1986
Dynamic Systems 5,Logistics,9901478536.1,47564,Seattle,MA,2022
Pinnacle Ventures 6,Logistics,2487992602.06,44608,Portland,MA,1980
Nexus Innovations 7,Manufacturing,3124792858.15,10997,Denver,GA,1981
BlueSky Software 8,Healthcare,9959893161.87,50993,Paris,FL,1962
Apex Robotics 9,Education,8290048204.23,35463,Dubai,MA,1962
Streamline Logistics 10,Finance,1598178311.88,36511,Boston,OR,1963
Global Innovations Ltd. 11,Consulting,4153784272.12,31882,Dubai,FL,1971
Quantum Analytics 12,Retail,6826634206.93,75527,Mumbai,AE,1997
Pinnacle Ventures 13,Healthcare,8834761677.51,63574,Mumbai,CA,1997
Visionary Tech 14,Hospitality,1642724981.76,51226,Dallas,OR,1950
Precision Engineering 15,Finance,4267647042.63,56335,Austin,FL,2002
Zenith Holdings 16,Healthcare,8673273782.26,39637,Sydney,WA,1972
Swift Manufacturing 17,Manufacturing,5000266184.17,3348,Miami,FR,1972
BlueSky Software 18,Hospitality,8831713134.66,84784,Chicago,GA,2016
Quantum Analytics 19,Hospitality,8203060961.7,42161,Denver,AU,1985
Global Innovations Ltd. 20,Healthcare,9681682530.42,83887,Miami,FR,1963
Tech Solutions Inc. 21,Logistics,9733401113.17,75376,London,TX,1986
Tech Solutions Inc. 22,Healthcare,739311403.11,84741,Austin,FR,1960
Infinite Reach 23,Energy,1958998730.11,6189,Seattle,DE,1979
Pinnacle Ventures 24,Healthcare,1534163762.69,95969,Austin,WA,1952
Alpha Corp 25,Retail,4370428883.91,16506,Mumbai,IL,2015
Evergreen Enterprises 26,Telecommunications,5913330607.78,70341,San Francisco,TX,1994
Global Innovations Ltd. 27,Retail,847003336.8,68334,Austin,TX,2002
Alpha Corp 28,Biotechnology,7845386836.38,25655,Boston,FR,1991
Dynamic Systems 29,Education,223867135.06,31644,Miami,TX,1999
Dynamic Systems 30,Consulting,1345624562.53,35953,Mumbai,DE,2022
Streamline Logistics 31,Biotechnology,8614926117.74,26211,Dallas,DE,1966
Pinnacle Ventures 32,Finance,4218470070.9,31884,Sydney,UK,1951
Apex Robotics 33,Consulting,7780791792.13,86636,Denver,MA,1964
